날짜          원/미국달러
2016-07-01      1152.60
2016-07-04      1147.50
2016-07-05      1148.10
2016-07-06      1153.00
2016-07-07      1165.80
2016-07-08      1156.60
2016-07-11      1159.20
2016-07-12      1147.80
2016-07-13      1149.30
2016-07-14      1145.70
2016-07-15      1141.80
2016-07-18      1132.70
2016-07-19      1136.30
2016-07-20      1138.40
2016-07-21      1140.80
2016-07-22      1140.20
2016-07-25      1135.00
2016-07-26      1136.90
2016-07-27      1138.40
2016-07-28      1134.10
2016-07-29      1125.70
2016-08-01      1122.40
2016-08-02      1111.00
2016-08-03      1108.90
2016-08-04      1114.00
2016-08-05      1113.80
2016-08-08      1111.30
2016-08-09      1112.70
2016-08-10      1107.20
2016-08-11      1096.10
2016-08-12      1098.60
2016-08-16      1101.10
2016-08-17      1095.00
2016-08-18      1102.30
2016-08-19      1106.40
2016-08-22      1115.20
2016-08-23      1125.30
2016-08-24      1117.40
2016-08-25      1121.60
2016-08-26      1119.00
2016-08-29      1113.90
2016-08-30      1125.20
2016-08-31      1118.50
2016-09-01      1117.40
2016-09-02      1119.30
2016-09-05      1117.60
2016-09-06      1108.20
2016-09-07      1105.00
2016-09-08      1093.20
2016-09-09      1093.20
2016-09-12      1099.50
2016-09-13      1110.60
2016-09-19      1112.30
2016-09-20      1120.00
2016-09-21      1119.50
2016-09-22      1116.80
2016-09-23      1103.10
2016-09-26      1104.20
2016-09-27      1106.90
2016-09-28      1103.50
2016-09-29      1095.70
2016-09-30      1096.30
2016-10-04      1102.00
2016-10-05      1105.10
2016-10-06      1113.80
2016-10-07      1111.30
2016-10-10      1115.70
2016-10-11      1111.00
2016-10-12      1117.20
2016-10-13      1123.30
2016-10-14      1130.50
2016-10-17      1132.90
2016-10-18      1140.30
2016-10-19      1132.30
2016-10-20      1122.80
2016-10-21      1124.00
2016-10-24      1134.50
2016-10-25      1134.50
2016-10-26      1136.50
2016-10-27      1132.40
2016-10-28      1140.20
2016-10-31      1145.20
2016-11-01      1144.60
2016-11-02      1141.80
2016-11-03      1148.70
2016-11-04      1140.60
2016-11-07      1143.40
2016-11-08      1141.60
2016-11-09      1137.50
2016-11-10      1145.80
2016-11-11      1151.00
2016-11-14      1164.40
2016-11-15      1169.80
2016-11-16      1168.80
2016-11-17      1167.20
2016-11-18      1174.40
2016-11-21      1182.30
2016-11-22      1183.60
2016-11-23      1175.50
2016-11-24      1174.90
2016-11-25      1182.40
2016-11-28      1178.90
2016-11-29      1170.30
2016-11-30      1168.50
2016-12-01      1168.00
2016-12-02      1172.60
2016-12-05      1170.50
2016-12-06      1173.80
2016-12-07      1169.50
2016-12-08      1169.40
2016-12-09      1159.10
2016-12-12      1166.20
2016-12-13      1170.20
2016-12-14      1165.50
2016-12-15      1168.30
2016-12-16      1180.10
2016-12-19      1183.40
2016-12-20      1186.40
2016-12-21      1191.20
2016-12-22      1194.20
2016-12-23      1198.00
2016-12-26      1202.90
2016-12-27      1199.40
2016-12-28      1205.30
2016-12-29      1207.60
2016-12-30      1208.50
2017-01-02      1208.50
2017-01-03      1207.80
2017-01-04      1206.20
2017-01-05      1206.70
2017-01-06      1191.60
2017-01-09      1189.10
2017-01-10      1205.50
2017-01-11      1198.70
2017-01-12      1196.40
2017-01-13      1182.80
2017-01-16      1177.70
2017-01-17      1180.50
2017-01-18      1180.90
2017-01-19      1165.60
2017-01-20      1177.10
2017-01-23      1172.50
2017-01-24      1166.70
2017-01-25      1163.60
2017-01-26      1166.20
2017-01-31      1157.80
2017-02-01      1165.50
2017-02-02      1155.20
2017-02-03      1149.20
2017-02-06      1146.80
2017-02-07      1137.70
2017-02-08      1142.10
2017-02-09      1145.40
2017-02-10      1145.70
2017-02-13      1151.40
2017-02-14      1151.90
2017-02-15      1144.50
2017-02-16      1141.60
2017-02-17      1138.90
2017-02-20      1145.30
2017-02-21      1147.60
2017-02-22      1146.80
2017-02-23      1140.90
2017-02-24      1138.80
2017-02-27      1131.00
2017-02-28      1132.10
2017-03-02      1132.30
2017-03-03      1142.00
2017-03-06      1152.70
2017-03-07      1156.10
2017-03-08      1151.20
2017-03-09      1146.60
2017-03-10      1156.10
2017-03-13      1158.20
2017-03-14      1147.70
2017-03-15      1147.30
2017-03-16      1146.30
2017-03-17      1131.70
2017-03-20      1131.40
2017-03-21      1124.50
2017-03-22      1117.50
2017-03-23      1123.80
2017-03-24      1120.00
2017-03-27      1122.70
2017-03-28      1114.20
2017-03-29      1112.50
2017-03-30      1114.00
2017-03-31      1116.10
2017-04-03      1119.30
2017-04-04      1113.80
2017-04-05      1118.90
2017-04-06      1124.00
2017-04-07      1131.00
2017-04-10      1134.60
2017-04-11      1141.60
2017-04-12      1145.80
2017-04-13      1145.20
2017-04-14      1131.90
2017-04-17      1138.80
2017-04-18      1136.50
2017-04-19      1137.90
2017-04-20      1139.80
2017-04-21      1141.40
2017-04-24      1136.60
2017-04-25      1131.70
2017-04-26      1130.50
2017-04-27      1125.10
2017-04-28      1130.10
2017-05-02      1133.40
2017-05-04      1130.70
2017-05-08      1132.10
2017-05-10      1132.40
2017-05-11      1134.50
2017-05-12      1130.40
2017-05-15      1126.80
2017-05-16      1125.40
2017-05-17      1117.70
2017-05-18      1118.40
2017-05-19      1125.20
2017-05-22      1127.50
2017-05-23      1117.10
2017-05-24      1120.60
2017-05-25      1126.60
2017-05-26      1118.00
2017-05-29      1119.50
2017-05-30      1120.10
2017-05-31      1123.90
2017-06-01      1121.80
2017-06-02      1120.40
2017-06-05      1120.90
