날짜          총지수
2023-04-17   110.77
2023-04-18   110.77
2023-04-19   110.77
2023-04-20   110.77
2023-04-21   110.77
2023-04-22   110.77
2023-04-23   110.77
2023-04-24   110.77
2023-04-25   110.77
2023-04-26   110.77
2023-04-27   110.77
2023-04-28   110.77
2023-04-29   110.77
2023-04-30   110.77
2023-05-01   111.13
2023-05-02   111.13
2023-05-03   111.13
2023-05-04   111.13
2023-05-05   111.13
2023-05-06   111.13
2023-05-07   111.13
2023-05-08   111.13
2023-05-09   111.13
2023-05-10   111.13
2023-05-11   111.13
2023-05-12   111.13
2023-05-13   111.13
2023-05-14   111.13
2023-05-15   111.13
2023-05-16   111.13
2023-05-17   111.13
2023-05-18   111.13
2023-05-19   111.13
2023-05-20   111.13
2023-05-21   111.13
2023-05-22   111.13
2023-05-23   111.13
2023-05-24   111.13
2023-05-25   111.13
2023-05-26   111.13
2023-05-27   111.13
2023-05-28   111.13
2023-05-29   111.13
2023-05-30   111.13
2023-05-31   111.13
2023-06-01   111.16
2023-06-02   111.16
2023-06-03   111.16
2023-06-04   111.16
2023-06-05   111.16
2023-06-06   111.16
2023-06-07   111.16
2023-06-08   111.16
2023-06-09   111.16
2023-06-10   111.16
2023-06-11   111.16
2023-06-12   111.16
2023-06-13   111.16
2023-06-14   111.16
2023-06-15   111.16
2023-06-16   111.16
2023-06-17   111.16
2023-06-18   111.16
2023-06-19   111.16
2023-06-20   111.16
2023-06-21   111.16
2023-06-22   111.16
2023-06-23   111.16
2023-06-24   111.16
2023-06-25   111.16
2023-06-26   111.16
2023-06-27   111.16
2023-06-28   111.16
2023-06-29   111.16
2023-06-30   111.16
2023-07-01   111.29
2023-07-02   111.29
2023-07-03   111.29
2023-07-04   111.29
2023-07-05   111.29
2023-07-06   111.29
2023-07-07   111.29
2023-07-08   111.29
2023-07-09   111.29
2023-07-10   111.29
2023-07-11   111.29
2023-07-12   111.29
2023-07-13   111.29
2023-07-14   111.29
2023-07-15   111.29
2023-07-16   111.29
2023-07-17   111.29
2023-07-18   111.29
2023-07-19   111.29
2023-07-20   111.29
2023-07-21   111.29
2023-07-22   111.29
2023-07-23   111.29
2023-07-24   111.29
2023-07-25   111.29
2023-07-26   111.29
2023-07-27   111.29
2023-07-28   111.29
2023-07-29   111.29
2023-07-30   111.29
2023-07-31   111.29
2023-08-01   112.28
2023-08-02   112.28
2023-08-03   112.28
2023-08-04   112.28
2023-08-05   112.28
2023-08-06   112.28
2023-08-07   112.28
2023-08-08   112.28
2023-08-09   112.28
2023-08-10   112.28
2023-08-11   112.28
2023-08-12   112.28
2023-08-13   112.28
2023-08-14   112.28
2023-08-15   112.28
2023-08-16   112.28
2023-08-17   112.28
2023-08-18   112.28
2023-08-19   112.28
2023-08-20   112.28
2023-08-21   112.28
2023-08-22   112.28
2023-08-23   112.28
2023-08-24   112.28
2023-08-25   112.28
2023-08-26   112.28
2023-08-27   112.28
2023-08-28   112.28
2023-08-29   112.28
2023-08-30   112.28
2023-08-31   112.28
2023-09-01   112.85
2023-09-02   112.85
2023-09-03   112.85
2023-09-04   112.85
2023-09-05   112.85
2023-09-06   112.85
2023-09-07   112.85
2023-09-08   112.85
2023-09-09   112.85
2023-09-10   112.85
2023-09-11   112.85
2023-09-12   112.85
2023-09-13   112.85
2023-09-14   112.85
2023-09-15   112.85
2023-09-16   112.85
2023-09-17   112.85
2023-09-18   112.85
2023-09-19   112.85
2023-09-20   112.85
2023-09-21   112.85
2023-09-22   112.85
2023-09-23   112.85
2023-09-24   112.85
2023-09-25   112.85
2023-09-26   112.85
2023-09-27   112.85
2023-09-28   112.85
2023-09-29   112.85
2023-09-30   112.85
2023-10-01   113.27
2023-10-02   113.27
2023-10-03   113.27
2023-10-04   113.27
2023-10-05   113.27
2023-10-06   113.27
2023-10-07   113.27
2023-10-08   113.27
2023-10-09   113.27
2023-10-10   113.27
2023-10-11   113.27
2023-10-12   113.27
2023-10-13   113.27
2023-10-14   113.27
2023-10-15   113.27
2023-10-16   113.27
2023-10-17   113.27
2023-10-18   113.27
2023-10-19   113.27
2023-10-20   113.27
2023-10-21   113.27
2023-10-22   113.27
2023-10-23   113.27
2023-10-24   113.27
2023-10-25   113.27
2023-10-26   113.27
2023-10-27   113.27
2023-10-28   113.27
2023-10-29   113.27
2023-10-30   113.27
2023-10-31   113.27
2023-11-01   112.68
2023-11-02   112.68
2023-11-03   112.68
2023-11-04   112.68
2023-11-05   112.68
2023-11-06   112.68
2023-11-07   112.68
