날짜          원/미국달러
2021-07-01      1129.50
2021-07-02      1132.20
2021-07-05      1134.50
2021-07-06      1130.30
2021-07-07      1131.80
2021-07-08      1137.60
2021-07-09      1143.40
2021-07-12      1148.30
2021-07-13      1146.40
2021-07-14      1145.10
2021-07-15      1150.30
2021-07-16      1143.70
2021-07-19      1141.10
2021-07-20      1145.70
2021-07-21      1151.00
2021-07-22      1150.60
2021-07-23      1151.00
2021-07-26      1149.50
2021-07-27      1153.20
2021-07-28      1150.20
2021-07-29      1154.80
2021-07-30      1147.40
2021-08-02      1147.50
2021-08-03      1151.50
2021-08-04      1150.70
2021-08-05      1145.80
2021-08-06      1143.50
2021-08-09      1142.30
2021-08-10      1145.00
2021-08-11      1148.50
2021-08-12      1155.00
2021-08-13      1158.90
2021-08-17      1167.80
2021-08-18      1174.90
2021-08-19      1172.70
2021-08-20      1174.50
2021-08-23      1176.70
2021-08-24      1174.00
2021-08-25      1168.00
2021-08-26      1166.50
2021-08-27      1168.10
2021-08-30      1170.80
2021-08-31      1164.40
2021-09-01      1162.80
2021-09-02      1157.50
2021-09-03      1159.70
2021-09-06      1156.40
2021-09-07      1157.30
2021-09-08      1157.90
2021-09-09      1164.50
2021-09-10      1170.10
2021-09-13      1170.40
2021-09-14      1174.30
2021-09-15      1172.20
2021-09-16      1171.70
2021-09-17      1169.10
2021-09-23      1177.60
2021-09-24      1181.70
2021-09-27      1175.30
2021-09-28      1175.90
2021-09-29      1182.00
2021-09-30      1184.90
2021-10-01      1185.20
2021-10-05      1187.20
2021-10-06      1187.10
2021-10-07      1190.00
2021-10-08      1190.30
2021-10-12      1193.40
2021-10-13      1199.10
2021-10-14      1195.00
2021-10-15      1188.30
2021-10-18      1182.80
2021-10-19      1185.80
2021-10-20      1181.70
2021-10-21      1175.60
2021-10-22      1175.80
2021-10-25      1178.40
2021-10-26      1171.80
2021-10-27      1166.30
2021-10-28      1168.10
2021-10-29      1171.70
2021-11-01      1169.60
2021-11-02      1176.30
2021-11-03      1175.50
2021-11-04      1181.10
2021-11-05      1180.00
2021-11-08      1185.20
2021-11-09      1184.30
2021-11-10      1178.40
2021-11-11      1181.00
2021-11-12      1184.70
2021-11-15      1179.60
2021-11-16      1180.20
2021-11-17      1179.60
2021-11-18      1183.60
2021-11-19      1180.50
2021-11-22      1183.50
2021-11-23      1187.40
2021-11-24      1188.90
2021-11-25      1188.50
2021-11-26      1189.70
2021-11-29      1193.00
2021-11-30      1193.40
2021-12-01      1187.70
2021-12-02      1180.30
2021-12-03      1177.30
2021-12-06      1178.60
2021-12-07      1183.70
2021-12-08      1181.20
2021-12-09      1176.40
2021-12-10      1173.80
2021-12-13      1178.20
2021-12-14      1178.80
2021-12-15      1183.60
2021-12-16      1186.20
2021-12-17      1183.50
2021-12-20      1184.40
2021-12-21      1189.80
2021-12-22      1191.50
2021-12-23      1191.20
2021-12-24      1187.50
2021-12-27      1186.40
2021-12-28      1186.20
2021-12-29      1186.70
2021-12-30      1186.60
2021-12-31      1185.50
2022-01-03      1185.50
2022-01-04      1190.80
2022-01-05      1194.30
2022-01-06      1198.20
2022-01-07      1199.60
2022-01-10      1202.40
2022-01-11      1200.00
2022-01-12      1195.20
2022-01-13      1189.90
2022-01-14      1188.20
2022-01-17      1187.60
2022-01-18      1192.30
2022-01-19      1188.90
2022-01-20      1191.80
2022-01-21      1190.40
2022-01-24      1193.60
2022-01-25      1194.20
2022-01-26      1197.80
2022-01-27      1197.00
2022-01-28      1202.40
2022-02-03      1205.70
2022-02-04      1205.40
2022-02-07      1199.50
2022-02-08      1199.40
2022-02-09      1197.80
2022-02-10      1196.00
2022-02-11      1196.00
2022-02-14      1199.60
2022-02-15      1198.30
2022-02-16      1198.50
2022-02-17      1196.90
2022-02-18      1197.10
2022-02-21      1196.40
2022-02-22      1194.60
2022-02-23      1194.70
2022-02-24      1192.10
2022-02-25      1199.40
2022-02-28      1202.70
2022-03-02      1205.60
2022-03-03      1205.00
2022-03-04      1203.60
2022-03-07      1211.50
2022-03-08      1225.40
2022-03-10      1234.50
2022-03-11      1228.70
2022-03-14      1232.40
2022-03-15      1238.60
2022-03-16      1241.70
2022-03-17      1240.40
2022-03-18      1220.60
2022-03-21      1211.10
2022-03-22      1213.70
2022-03-23      1221.40
2022-03-24      1212.70
2022-03-25      1219.40
2022-03-28      1218.30
2022-03-29      1225.70
2022-03-30      1220.50
2022-03-31      1210.80
2022-04-01      1210.70
2022-04-04      1216.10
2022-04-05      1216.70
2022-04-06      1212.60
2022-04-07      1219.10
2022-04-08      1218.50
2022-04-11      1224.00
2022-04-12      1232.00
2022-04-13      1236.60
2022-04-14      1227.70
2022-04-15      1224.20
2022-04-18      1230.10
2022-04-19      1232.80
2022-04-20      1234.90
2022-04-21      1237.10
2022-04-22      1236.40
2022-04-25      1241.70
2022-04-26      1247.10
2022-04-27      1248.30
2022-04-28      1263.10
2022-04-29      1269.40
2022-05-02      1265.40
2022-05-03      1265.80
2022-05-04      1265.70
2022-05-06      1261.80
2022-05-09      1272.70
2022-05-10      1274.60
2022-05-11      1275.50
2022-05-12      1277.00
2022-05-13      1286.40
2022-05-16      1286.00
2022-05-17      1281.60
2022-05-18      1277.20
2022-05-19      1269.30
2022-05-20      1274.60
2022-05-23      1269.50
2022-05-24      1267.70
2022-05-25      1264.30
2022-05-26      1263.30
2022-05-27      1266.40
2022-05-30      1256.90
2022-05-31      1245.80
2022-06-02      1238.40
2022-06-03      1251.20
2022-06-07      1241.10
2022-06-08      1257.10
2022-06-09      1255.40
2022-06-10      1257.60
2022-06-13      1266.00
2022-06-14      1286.00
2022-06-15      1289.70
2022-06-16      1291.30
2022-06-17      1284.10
2022-06-20      1287.50
2022-06-21      1291.70
2022-06-22      1290.60
2022-06-23      1295.70
2022-06-24      1300.70
2022-06-27      1299.40
2022-06-28      1285.60
2022-06-29      1284.90
2022-06-30      1292.90
2022-07-01      1299.80
2022-07-04      1294.20
2022-07-05      1297.90
2022-07-06      1298.00
2022-07-07      1307.40
2022-07-08      1302.70
2022-07-11      1299.30
2022-07-12      1300.60
2022-07-13      1312.90
2022-07-14      1305.90
2022-07-15      1310.00
2022-07-18      1323.70
2022-07-19      1317.80
2022-07-20      1314.90
2022-07-21      1308.60
2022-07-22      1312.10
2022-07-25      1311.70
2022-07-26      1311.00
2022-07-27      1310.00
2022-07-28      1312.80
2022-07-29      1304.00
2022-08-01      1298.60
2022-08-02      1306.40
2022-08-03      1307.20
2022-08-04      1310.50
2022-08-05      1309.70
2022-08-08      1299.30
2022-08-09      1304.80
2022-08-10      1305.10
2022-08-11      1309.10
2022-08-12      1302.50
2022-08-16      1303.10
2022-08-17      1309.60
2022-08-18      1309.80
2022-08-19      1317.30
2022-08-22      1326.70
2022-08-23      1338.20
2022-08-24      1341.80
2022-08-25      1341.40
2022-08-26      1336.90
2022-08-29      1332.50
2022-08-30      1347.70
2022-08-31      1347.50
2022-09-01      1345.10
2022-09-02      1351.40
2022-09-05      1356.50
2022-09-06      1369.70
2022-09-07      1370.30
2022-09-08      1385.30
2022-09-13      1381.20
2022-09-14      1374.80
2022-09-15      1391.70
2022-09-16      1394.20
2022-09-19      1394.20
2022-09-20      1390.10
2022-09-21      1389.10
2022-09-22      1393.60
2022-09-23      1408.00
2022-09-26      1408.40
2022-09-27      1429.70
2022-09-28      1427.20
2022-09-29      1436.50
2022-09-30      1434.80
2022-10-04      1432.10
2022-10-05      1431.20
2022-10-06      1419.10
2022-10-07      1404.20
2022-10-11      1410.30
2022-10-12      1433.50
2022-10-13      1430.40
2022-10-14      1427.00
2022-10-17      1428.90
2022-10-18      1436.60
2022-10-19      1425.60
2022-10-20      1420.60
2022-10-21      1431.70
2022-10-24      1436.60
2022-10-25      1436.60
